Year;State;State ISO;Varroa mites;Other pests and parasites;Diseases ;Pesticides;Other* ;Unknown
2018;Kentucky;KY;46.86192469;30.72325164;0.896592947;7.232516438;6.993424985;7.292289301
2015;Louisiana;LA;68.1544029;8.835946924;6.785283474;3.76960193;10.19300362;2.261761158
2016;Louisiana;LA;43.34140436;21.3882163;19.7740113;1.210653753;12.06618241;2.219531881
2017;Louisiana;LA;46.61062183;37.9637043;0.306912196;1.868161196;3.976514545;9.274085935
2018;Louisiana;LA;43.18936877;21.9269103;1.328903654;4.983388704;18.93687708;9.634551495
2015;MassachTOetts;MA;44.29323405;22.37771216;2.86301194;22.01823084;5.494928746;2.95288227
2016;MassachTOetts;MA;45.51298534;17.43378761;5.271277963;9.514013885;6.119825148;16.14811005
2017;MassachTOetts;MA;62.68472906;8.884588318;10.25686137;9.025334272;5.805770584;3.342716397
2018;MassachTOetts;MA;48.65900383;4.022988506;3.448275862;4.406130268;21.64750958;17.81609195
2015;Maryland;MD;26.5119393;13.50145057;2.00848025;28.23030574;18.4780183;11.26980585
2016;Maryland;MD;50.98839034;12.17445874;7.310950737;13.90021964;12.8647631;2.761217446
2017;Maryland;MD;29.91975545;22.35384028;2.598395109;3.821169278;19.98471532;21.32212457
2018;Maryland;MD;43.98826979;13.19648094;7.624633431;2.639296188;27.41935484;5.131964809
2015;Maine;ME;31.8176277;11.64208217;8.106790199;42.05778374;3.267097403;3.108618798
2016;Maine;ME;37.08368318;0.601735236;1.721242653;43.52085083;3.35852225;13.71396586
2017;Maine;ME;27.41185587;15.65284773;17.396358;10.51917861;14.58736924;14.43239055
2018;Maine;ME;57.30337079;3.820224719;0.898876404;8.08988764;13.03370787;16.85393258
2015;Michigan;MI;47.74448469;15.03128087;4.939084623;11.73855779;12.23246625;8.314125782
2016;Michigan;MI;58.2127124;14.20704846;0.786658276;11.32787917;9.282567653;6.183134047
2017;Michigan;MI;53.21782178;12.76299505;7.271039604;15.98081683;7.162747525;3.604579208
2018;Michigan;MI;48.71364653;11.29753915;6.543624161;10.62639821;13.9261745;8.89261745
2015;Minnesota;MN;37.67800058;10.75268817;8.326068003;25.06538797;8.180761407;9.997093868
2016;Minnesota;MN;34.9305285;11.46604337;5.194130632;22.65939488;12.79054668;12.95935593
2017;Minnesota;MN;48.52850062;5.343866171;3.252788104;24.36493185;13.32094176;5.188971499
2018;Minnesota;MN;20.17045455;13.06818182;12.21590909;8.806818182;12.64204545;33.09659091
2015;Missouri;MO;28.20512821;26.27327011;10.18616087;6.954689146;13.80400421;14.57674745
2016;Missouri;MO;52.51572327;22.73584906;1.823899371;6.698113208;8.427672956;7.798742138
2017;Missouri;MO;40.91028677;24.50670876;2.407261247;12.43093923;5.367008682;14.37779532
2018;Missouri;MO;38.17330211;35.51912568;0.429352069;1.951600312;13.58313817;10.34348165
2015;Mississippi;MS;66.69019054;16.69019054;0.811573747;3.881439661;7.05716302;4.869442484
2016;Mississippi;MS;56.44245142;10.01494768;2.899850523;7.683109118;6.427503737;16.53213752
2017;Mississippi;MS;63.04798067;20.33137729;1.812219537;1.518812565;10.26924405;3.020365896
2018;Mississippi;MS;41.0871303;23.10151878;0;0.639488409;5.995203837;29.17665867
2015;Montana;MT;44.18254764;15.71380809;11.08324975;8.274824473;5.650284186;15.09528586
2016;Montana;MT;34.48708564;19.27219492;15.47631496;6.535605981;12.1300847;12.09871379
2017;Montana;MT;59.00893837;11.72965344;7.417280853;5.535518269;13.64277874;2.665830328
2018;Montana;MT;61.68717047;7.55711775;4.920913884;24.07732865;0.966608084;0.79086116
2015;North Carolina;NC;49.22750682;18.14601636;0.605877007;12.9960618;8.754922751;10.26961527
2016;North Carolina;NC;36.74158763;15.30466415;2.76731194;17.05859426;12.40743147;15.72041055
2017;North Carolina;NC;55.99180608;21.42938432;2.765448959;6.862410379;8.990554228;3.96039604
2018;North Carolina;NC;42.59459459;13.83783784;0.864864865;2.918918919;30.27027027;9.513513514
2015;North Dakota;ND;43.25307951;15.76147816;9.322508399;16.88129899;10.44232923;4.339305711
2016;North Dakota;ND;45.32130778;17.58737317;7.440811725;10.82299887;9.131905299;9.695603157
2017;North Dakota;ND;56.78642715;21.55688623;4.530938124;9.241516966;6.18762475;1.696606786
2018;North Dakota;ND;41.76;12.16;9.6;15.04;7.68;13.76
2015;Nebraska;NE;46.14919964;17.42675929;11.26547871;11.62790698;5.58743582;7.943219571
2016;Nebraska;NE;56.4281559;5.119255381;2.036067481;22.39674229;5.700988947;8.318789994
2017;Nebraska;NE;39.65183752;18.07766701;2.202053266;23.21083172;11.75420324;5.103407231
2018;Nebraska;NE;26.8370607;6.389776358;2.555910543;19.16932907;29.39297125;15.65495208
2015;New Mexico;NM;32.74336283;16.34513274;20.85840708;16.04424779;12.78761062;1.221238938
2016;New Mexico;NM;50.4618838;12.17301217;22.87835621;11.48234482;2.6331693;0.371233705
2017;New Mexico;NM;49.89808398;0.81532817;34.57573816;6.959408305;7.384543707;0.366897676
2018;New Mexico;NM;74.31034483;1.034482759;1.034482759;4.482758621;16.55172414;2.586206897
2015;New Jersey;NJ;41.08207244;7.641754547;15.69616384;19.15023689;8.405930002;8.023842274
2016;New Jersey;NJ;51.43712575;15.26946108;1.497005988;10.98802395;4.94011976;15.86826347
2017;New Jersey;NJ;61.73881145;14.67351431;8.547322084;6.603081438;4.402054292;4.035216434
2018;New Jersey;NJ;69.46902655;11.50442478;0;1.10619469;15.92920354;1.991150442
2015;New York;NY;44.89072652;15.55424296;5.670407561;13.19157314;12.26619413;8.42685568
2016;New York;NY;48.449546;8.651704643;4.93404146;15.84718177;17.35480555;4.762720576
2017;New York;NY;43.51954423;17.40781769;10.33391359;8.38740307;14.2902358;6.061085615
2018;New York;NY;41.86193794;20.39265358;10.63964535;5.003166561;16.02279924;6.07979734
2015;Ohio;OH;37.51604621;9.034017972;2.64762516;18.29268293;18.10012837;14.40949936
2016;Ohio;OH;57.46955747;13.06801307;1.455301455;9.91980992;10.36531037;7.722007722
2017;Ohio;OH;49.15214595;17.65875336;5.437960472;6.899777804;12.25587651;8.595485908
2018;Ohio;OH;42.60869565;22.17391304;4.456521739;3.206521739;20.38043478;7.173913043
2015;Oklahoma;OK;66.2819713;18.09107923;0.717404866;0.311915159;8.577666875;6.01996257
2016;Oklahoma;OK;53.02239951;8.438171218;0.767106474;1.779687021;2.301319423;33.69131635
2017;Oklahoma;OK;38.09895833;17.44791667;27.60416667;3.828125;11.19791667;1.822916667
2018;Oklahoma;OK;52.39279055;12.05717837;7.955251709;16.65630827;9.633312617;1.305158484
2015;Oregon;OR;55.15972571;18.81585549;8.496404081;8.864358588;5.8203713;2.84328483
2016;Oregon;OR;50.68236553;16.99223976;13.62055124;6.689858175;8.964409955;3.050575328
2017;Oregon;OR;44.16081025;13.69367507;15.03720546;10.33484911;10.72757338;6.04588673
2018;Oregon;OR;63.43919442;3.253292022;7.203718048;10.3020914;14.8721921;0.929512006
