Program;Year;Period;Week Ending;Geo Level;State;State ISO;Commodity;Data Item;Domain;Domain Category;Value;Apples in Kg per Acre;Pears in Kg per Acre;Blueberries in Kg per Acre;Cherries in Kg per Acre;Peaches in Kg per Acre;Strawberries in Kg per Acre
SURVEY;2008;YEAR;;STATE;RHODE ISLAND;RI;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;8,000;3629;;;;;
SURVEY;2008;YEAR;;STATE;SOUTH CAROLINA;SC;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;14,000;6350;;;;;
SURVEY;2008;YEAR;;STATE;TENNESSEE;TN;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;11,100;5035;;;;;
SURVEY;2008;YEAR;;STATE;UTAH;UT;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;8,570;3887;;;;;
SURVEY;2008;YEAR;;STATE;VERMONT;VT;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;17,600;7983;;;;;
SURVEY;2008;YEAR;;STATE;VIRGINIA;VA;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;18,800;8528;;;;;
SURVEY;2008;YEAR;;STATE;WASHINGTON;WA;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;36,900;16738;;;;;
SURVEY;2008;YEAR;;STATE;WEST VIRGINIA;WV;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;17,000;7711;;;;;
SURVEY;2008;YEAR;;STATE;WISCONSIN;WI;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;12,100;5488;;;;;
SURVEY;2009;YEAR;;STATE;ARIZONA;AZ;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;4,580;2077;;;;;
SURVEY;2009;YEAR;;STATE;CALIFORNIA;CA;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;13,900;6305;;;;;
SURVEY;2009;YEAR;;STATE;COLORADO;CO;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;10,700;4853;;;;;
SURVEY;2009;YEAR;;STATE;CONNECTICUT;CT;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;8,860;4019;;;;;
SURVEY;2009;YEAR;;STATE;GEORGIA;GA;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED; (NA);;;;;;
SURVEY;2009;YEAR;;STATE;IDAHO;ID;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;17,300;7847;;;;;
SURVEY;2009;YEAR;;STATE;ILLINOIS;IL;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;18,400;8346;;;;;
SURVEY;2009;YEAR;;STATE;INDIANA;IN;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;15,000;6804;;;;;
SURVEY;2009;YEAR;;STATE;IOWA;IA;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;4,360;1978;;;;;
SURVEY;2009;YEAR;;STATE;KENTUCKY;KY;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED; (NA);;;;;;
SURVEY;2009;YEAR;;STATE;MAINE;ME;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;11,000;4990;;;;;
SURVEY;2009;YEAR;;STATE;MARYLAND;MD;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;24,500;11113;;;;;
SURVEY;2009;YEAR;;STATE;MASSACHUSETTS;MA;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;12,100;5488;;;;;
SURVEY;2009;YEAR;;STATE;MICHIGAN;MI;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;30,800;13971;;;;;
SURVEY;2009;YEAR;;STATE;MINNESOTA;MN;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;7,730;3506;;;;;
SURVEY;2009;YEAR;;STATE;MISSOURI;MO;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;10,300;4672;;;;;
SURVEY;2009;YEAR;;STATE;NEW HAMPSHIRE;NH;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;16,700;7575;;;;;
