Year;Period;State;State ISO;Varroa mites;Other pests and parasites;Diseases ;Pesticides;Other*;Unknown
2016;july-sept;North Dakota;ND;46.3;14.4;7.7;15.7;12.1;3.8
2016;july-sept;Nebraska;NE;60;4.7;0.3;30;4.7;0.3
2016;july-sept;New Mexico;NM;30.3;28.2;28.1;12.3;0.9;0.4
2016;july-sept;New Jersey;NY;52.3;18.4;3.1;22;3.4;0.8
2016;july-sept;New York;NY;44.3;10.7;6.5;6.2;29.3;3.1
2016;july-sept;Ohio;OH;72.8;12.7;2.8;3.5;4.3;3.8
2016;july-sept;Oklahoma;OK;19.6;17;0.8;1.8;3.7;57.1
2016;july-sept;Oregon;OR;52.8;18.5;12.5;9.6;5.1;1.5
2016;july-sept;Pennsylvania;PA;60.8;17.1;3.6;9.6;6.2;2.7
2016;july-sept;South Carolina;SC;44;40.5;0.2;5.6;5.6;4.1
2016;july-sept;South Dakota;SD;43.3;17.3;12.6;20.2;4.1;2.5
2016;july-sept;Tennessee;TN;39.1;40.2;2.3;4.2;10.8;3.5
2016;july-sept;United States;TO;47.4;16;6.9;15.5;9.6;4.6
2016;july-sept;Texas;TX;47.4;11.5;1.7;31.6;3.7;4.1
2016;july-sept;Utah;UT;40.7;25.6;0.8;27.6;3.2;2.2
2016;july-sept;Virginia;VA;51.8;31.9;1.5;3;7;4.8
2016;july-sept;Vermont;VT;30.3;43.2;9.2;0;13;4.3
2016;july-sept;Washington;WA;71.6;1.5;1;21;4.7;0.1
2016;july-sept;Wisconsin;WI;35.8;15.5;12.3;18;5.8;12.6
2016;july-sept;West Virginia;WV;68.3;11.7;5.9;0.2;13.3;0.7
2016;july-sept;Wyoming;WY;79.6;6.4;1;5.4;7;0.6
2017;july-sept;Arkansas;AK;62;9.2;0;17.2;9.4;2.3
2017;july-sept;Alabama;AL;50.2;16;0;25.6;5.4;2.8
2017;july-sept;Arizona;AZ;48.9;1;1.2;2.7;30.6;15.6
2017;july-sept;California;CA;46.6;17.4;6.2;14.8;11.1;4
2017;july-sept;Colorado;CO;70.3;1.9;3.5;12.1;10.4;1.9
2017;july-sept;Connecticut;CT;63.2;3.8;0.3;0;32.7;0
2017;july-sept;Florida;FL;43.3;13.3;3.7;6.4;11.5;21.7
2017;july-sept;Georgia;GA;45.8;17.3;2.2;13.6;14.5;6.6
2017;july-sept;Hawaii;HI;29.8;45.7;3.2;0;21.3;0
2017;july-sept;Iowa;IA;46.6;19.5;6.5;10.6;10.8;6
2017;july-sept;Idaho;ID;49;17.4;6.1;14.1;8.7;4.7
2017;july-sept;Illinois;IL;51.9;24.7;4.9;4.9;8;5.7
2017;july-sept;Indiana;IN;46.5;19.7;1.3;13;12.7;6.7
2017;july-sept;Kansas;KS;40.5;32.5;9.2;12.6;0.7;4.6
2017;july-sept;Kentucky;KY;43.2;36.5;4.3;0.6;9.6;5.8
2017;july-sept;Louisiana;LA;38.3;48.2;0.2;1;2.6;9.6
